doc_id,n_endings,window_used,mattr20
ai/claude-3-haiku/cicd-pipeline_1,26,20,0.507143
ai/claude-3-haiku/cicd-pipeline_2,15,15,0.666667
ai/claude-3-haiku/cicd-pipeline_3,28,20,0.555556
ai/claude-3-haiku/cicd-pipeline_4,33,20,0.617857
ai/claude-3-haiku/cicd-pipeline_5,33,20,0.553571
ai/claude-3-haiku/code-review_1,22,20,0.683333
ai/claude-3-haiku/code-review_2,14,14,0.928571
ai/claude-3-haiku/code-review_3,41,20,0.638636
ai/claude-3-haiku/code-review_4,36,20,0.629412
ai/claude-3-haiku/code-review_5,56,20,0.650000
ai/claude-3-haiku/docker-intro_1,33,20,0.553571
ai/claude-3-haiku/docker-intro_2,38,20,0.507895
ai/claude-3-haiku/docker-intro_3,32,20,0.473077
ai/claude-3-haiku/docker-intro_4,36,20,0.576471
ai/claude-3-haiku/docker-intro_5,51,20,0.589063
ai/claude-3-haiku/git-team-rules_1,23,20,0.550000
ai/claude-3-haiku/git-team-rules_2,37,20,0.558333
ai/claude-3-haiku/git-team-rules_3,28,20,0.722222
ai/claude-3-haiku/git-team-rules_4,17,17,0.764706
ai/claude-3-haiku/git-team-rules_5,43,20,0.520833
ai/claude-3-haiku/python-exception_1,29,20,0.490000
ai/claude-3-haiku/python-exception_2,24,20,0.520000
ai/claude-3-haiku/python-exception_3,25,20,0.441667
ai/claude-3-haiku/python-exception_4,27,20,0.487500
ai/claude-3-haiku/python-exception_5,35,20,0.612500
ai/claude-3-haiku/rdb-design_1,39,20,0.450000
ai/claude-3-haiku/rdb-design_2,27,20,0.568750
ai/claude-3-haiku/rdb-design_3,33,20,0.592857
ai/claude-3-haiku/rdb-design_4,46,20,0.675926
ai/claude-3-haiku/rdb-design_5,29,20,0.740000
ai/claude-3-haiku/rest-api-design_1,35,20,0.571875
ai/claude-3-haiku/rest-api-design_2,33,20,0.571429
ai/claude-3-haiku/rest-api-design_3,30,20,0.668182
ai/claude-3-haiku/rest-api-design_4,30,20,0.636364
ai/claude-3-haiku/rest-api-design_5,41,20,0.536364
ai/claude-3-haiku/team-dev_1,42,20,0.647826
ai/claude-3-haiku/team-dev_2,41,20,0.586364
ai/claude-3-haiku/team-dev_3,49,20,0.461667
ai/claude-3-haiku/team-dev_4,44,20,0.612000
ai/claude-3-haiku/team-dev_5,22,20,0.533333
ai/claude-3-haiku/test-strategy_1,36,20,0.400000
ai/claude-3-haiku/test-strategy_2,26,20,0.507143
ai/claude-3-haiku/test-strategy_3,31,20,0.520833
ai/claude-3-haiku/test-strategy_4,35,20,0.612500
ai/claude-3-haiku/test-strategy_5,33,20,0.500000
ai/claude-3-haiku/web-security_1,18,18,0.611111
ai/claude-3-haiku/web-security_2,29,20,0.525000
ai/claude-3-haiku/web-security_3,47,20,0.528571
ai/claude-3-haiku/web-security_4,35,20,0.290625
ai/claude-3-haiku/web-security_5,44,20,0.370000
ai/claude-opus-4/cicd-pipeline_1,9,9,0.666667
ai/claude-opus-4/cicd-pipeline_2,10,10,0.700000
ai/claude-opus-4/cicd-pipeline_3,5,5,1.000000
ai/claude-opus-4/cicd-pipeline_4,9,9,0.777778
ai/claude-opus-4/cicd-pipeline_5,11,11,0.818182
ai/claude-opus-4/code-review_1,9,9,0.888889
ai/claude-opus-4/code-review_2,17,17,0.705882
ai/claude-opus-4/code-review_3,15,15,0.933333
ai/claude-opus-4/code-review_4,9,9,0.888889
ai/claude-opus-4/code-review_5,11,11,1.000000
ai/claude-opus-4/docker-intro_1,17,17,0.823529
ai/claude-opus-4/docker-intro_2,13,13,0.769231
ai/claude-opus-4/docker-intro_3,18,18,0.777778
ai/claude-opus-4/docker-intro_4,14,14,0.785714
ai/claude-opus-4/docker-intro_5,19,19,0.894737
ai/claude-opus-4/git-team-rules_1,5,5,1.000000
ai/claude-opus-4/git-team-rules_2,7,7,0.857143
ai/claude-opus-4/git-team-rules_3,11,11,0.545455
ai/claude-opus-4/git-team-rules_4,7,7,0.857143
ai/claude-opus-4/git-team-rules_5,6,6,0.833333
ai/claude-opus-4/python-exception_1,9,9,0.666667
ai/claude-opus-4/python-exception_2,14,14,0.500000
ai/claude-opus-4/python-exception_3,10,10,0.800000
ai/claude-opus-4/python-exception_4,14,14,0.785714
ai/claude-opus-4/python-exception_5,11,11,0.727273
ai/claude-opus-4/rdb-design_1,21,20,0.550000
ai/claude-opus-4/rdb-design_2,16,16,0.875000
ai/claude-opus-4/rdb-design_3,19,19,0.631579
ai/claude-opus-4/rdb-design_4,23,20,0.612500
ai/claude-opus-4/rdb-design_5,15,15,0.733333
ai/claude-opus-4/rest-api-design_1,16,16,0.812500
ai/claude-opus-4/rest-api-design_2,8,8,1.000000
ai/claude-opus-4/rest-api-design_3,17,17,0.764706
ai/claude-opus-4/rest-api-design_4,14,14,0.857143
ai/claude-opus-4/rest-api-design_5,12,12,0.833333
ai/claude-opus-4/team-dev_1,9,9,1.000000
ai/claude-opus-4/team-dev_2,17,17,0.823529
ai/claude-opus-4/team-dev_3,21,20,0.850000
ai/claude-opus-4/team-dev_4,14,14,0.857143
ai/claude-opus-4/team-dev_5,12,12,0.833333
ai/claude-opus-4/test-strategy_1,21,20,0.700000
ai/claude-opus-4/test-strategy_2,19,19,0.842105
ai/claude-opus-4/test-strategy_3,18,18,0.611111
ai/claude-opus-4/test-strategy_4,19,19,0.894737
ai/claude-opus-4/test-strategy_5,23,20,0.812500
ai/claude-opus-4/web-security_1,20,20,0.800000
ai/claude-opus-4/web-security_2,18,18,0.722222
ai/claude-opus-4/web-security_3,15,15,0.933333
ai/claude-opus-4/web-security_4,10,10,0.900000
ai/claude-opus-4/web-security_5,13,13,0.846154
ai/claude-sonnet-4/cicd-pipeline_1,19,19,0.684211
ai/claude-sonnet-4/cicd-pipeline_2,10,10,0.900000
ai/claude-sonnet-4/cicd-pipeline_3,12,12,0.666667
ai/claude-sonnet-4/cicd-pipeline_4,17,17,0.705882
ai/claude-sonnet-4/cicd-pipeline_5,21,20,0.500000
ai/claude-sonnet-4/code-review_1,9,9,1.000000
ai/claude-sonnet-4/code-review_2,7,7,0.714286
ai/claude-sonnet-4/code-review_3,21,20,0.900000
ai/claude-sonnet-4/code-review_4,16,16,0.875000
ai/claude-sonnet-4/code-review_5,13,13,0.615385
ai/claude-sonnet-4/docker-intro_1,16,16,0.812500
ai/claude-sonnet-4/docker-intro_2,12,12,0.500000
ai/claude-sonnet-4/docker-intro_3,10,10,0.900000
ai/claude-sonnet-4/docker-intro_4,16,16,0.875000
ai/claude-sonnet-4/docker-intro_5,25,20,0.808333
ai/claude-sonnet-4/git-team-rules_1,14,14,0.571429
ai/claude-sonnet-4/git-team-rules_2,22,20,0.916667
ai/claude-sonnet-4/git-team-rules_3,9,9,0.555556
ai/claude-sonnet-4/git-team-rules_4,15,15,0.733333
ai/claude-sonnet-4/git-team-rules_5,17,17,0.705882
ai/claude-sonnet-4/python-exception_1,14,14,0.642857
ai/claude-sonnet-4/python-exception_2,14,14,0.571429
ai/claude-sonnet-4/python-exception_3,11,11,0.545455
ai/claude-sonnet-4/python-exception_4,20,20,0.600000
ai/claude-sonnet-4/python-exception_5,17,17,0.705882
ai/claude-sonnet-4/rdb-design_1,18,18,0.500000
ai/claude-sonnet-4/rdb-design_2,14,14,0.571429
ai/claude-sonnet-4/rdb-design_3,11,11,0.727273
ai/claude-sonnet-4/rdb-design_4,18,18,0.611111
ai/claude-sonnet-4/rdb-design_5,22,20,0.600000
ai/claude-sonnet-4/rest-api-design_1,15,15,0.666667
ai/claude-sonnet-4/rest-api-design_2,24,20,0.620000
ai/claude-sonnet-4/rest-api-design_3,26,20,0.557143
ai/claude-sonnet-4/rest-api-design_4,18,18,0.666667
ai/claude-sonnet-4/rest-api-design_5,17,17,0.882353
ai/claude-sonnet-4/team-dev_1,23,20,0.762500
ai/claude-sonnet-4/team-dev_2,21,20,0.850000
ai/claude-sonnet-4/team-dev_3,16,16,0.875000
ai/claude-sonnet-4/team-dev_4,26,20,0.671429
ai/claude-sonnet-4/team-dev_5,22,20,0.766667
ai/claude-sonnet-4/test-strategy_1,18,18,0.722222
ai/claude-sonnet-4/test-strategy_2,18,18,0.666667
ai/claude-sonnet-4/test-strategy_3,19,19,0.736842
ai/claude-sonnet-4/test-strategy_4,26,20,0.721429
ai/claude-sonnet-4/test-strategy_5,16,16,0.625000
ai/claude-sonnet-4/web-security_1,12,12,0.916667
ai/claude-sonnet-4/web-security_2,21,20,0.800000
ai/claude-sonnet-4/web-security_3,19,19,0.894737
ai/claude-sonnet-4/web-security_4,22,20,0.650000
ai/claude-sonnet-4/web-security_5,20,20,0.700000
ai/gpt-3.5-turbo/cicd-pipeline_1,22,20,0.683333
ai/gpt-3.5-turbo/cicd-pipeline_2,20,20,0.400000
ai/gpt-3.5-turbo/cicd-pipeline_3,18,18,0.500000
ai/gpt-3.5-turbo/cicd-pipeline_4,31,20,0.345833
ai/gpt-3.5-turbo/cicd-pipeline_5,26,20,0.371429
ai/gpt-3.5-turbo/code-review_1,22,20,0.416667
ai/gpt-3.5-turbo/code-review_2,18,18,0.611111
ai/gpt-3.5-turbo/code-review_3,21,20,0.500000
ai/gpt-3.5-turbo/code-review_4,17,17,0.647059
ai/gpt-3.5-turbo/code-review_5,22,20,0.366667
ai/gpt-3.5-turbo/docker-intro_1,15,15,0.666667
ai/gpt-3.5-turbo/docker-intro_2,22,20,0.500000
ai/gpt-3.5-turbo/docker-intro_3,14,14,0.642857
ai/gpt-3.5-turbo/docker-intro_4,12,12,0.833333
ai/gpt-3.5-turbo/docker-intro_5,19,19,0.473684
ai/gpt-3.5-turbo/git-team-rules_1,13,13,0.615385
ai/gpt-3.5-turbo/git-team-rules_2,7,7,1.000000
ai/gpt-3.5-turbo/git-team-rules_3,5,5,1.000000
ai/gpt-3.5-turbo/git-team-rules_4,21,20,0.600000
ai/gpt-3.5-turbo/git-team-rules_5,6,6,0.833333
ai/gpt-3.5-turbo/python-exception_1,13,13,0.692308
ai/gpt-3.5-turbo/python-exception_2,20,20,0.500000
ai/gpt-3.5-turbo/python-exception_3,24,20,0.430000
ai/gpt-3.5-turbo/python-exception_4,15,15,0.600000
ai/gpt-3.5-turbo/python-exception_5,18,18,0.555556
ai/gpt-3.5-turbo/rdb-design_1,19,19,0.526316
ai/gpt-3.5-turbo/rdb-design_2,18,18,0.666667
ai/gpt-3.5-turbo/rdb-design_3,26,20,0.664286
ai/gpt-3.5-turbo/rdb-design_4,20,20,0.550000
ai/gpt-3.5-turbo/rdb-design_5,27,20,0.531250
ai/gpt-3.5-turbo/rest-api-design_1,10,10,0.400000
ai/gpt-3.5-turbo/rest-api-design_2,7,7,0.857143
ai/gpt-3.5-turbo/rest-api-design_3,7,7,0.857143
ai/gpt-3.5-turbo/rest-api-design_4,21,20,0.675000
ai/gpt-3.5-turbo/rest-api-design_5,22,20,0.583333
ai/gpt-3.5-turbo/team-dev_1,19,19,0.421053
ai/gpt-3.5-turbo/team-dev_2,21,20,0.550000
ai/gpt-3.5-turbo/team-dev_3,20,20,0.500000
ai/gpt-3.5-turbo/team-dev_4,20,20,0.550000
ai/gpt-3.5-turbo/team-dev_5,15,15,0.733333
ai/gpt-3.5-turbo/test-strategy_1,26,20,0.578571
ai/gpt-3.5-turbo/test-strategy_2,14,14,0.642857
ai/gpt-3.5-turbo/test-strategy_3,17,17,0.647059
ai/gpt-3.5-turbo/test-strategy_4,26,20,0.628571
ai/gpt-3.5-turbo/test-strategy_5,23,20,0.550000
ai/gpt-3.5-turbo/web-security_1,16,16,0.625000
ai/gpt-3.5-turbo/web-security_2,21,20,0.425000
ai/gpt-3.5-turbo/web-security_3,18,18,0.555556
ai/gpt-3.5-turbo/web-security_4,21,20,0.625000
ai/gpt-3.5-turbo/web-security_5,16,16,0.500000
ai/gpt-4o/cicd-pipeline_1,24,20,0.580000
ai/gpt-4o/cicd-pipeline_2,10,10,0.900000
ai/gpt-4o/cicd-pipeline_3,14,14,0.785714
ai/gpt-4o/cicd-pipeline_4,21,20,0.475000
ai/gpt-4o/cicd-pipeline_5,26,20,0.542857
ai/gpt-4o/code-review_1,14,14,0.642857
ai/gpt-4o/code-review_2,32,20,0.700000
ai/gpt-4o/code-review_3,34,20,0.710000
ai/gpt-4o/code-review_4,11,11,0.909091
