condition,comparison,diff_mean,diff_sd,ci_lo,ci_hi,frac_folds_positive
main,rhythm-lexical,-0.10068057553956836,0.019765721906684717,-0.10452081192189105,-0.0968013863602995,0.0
main,combined-lexical,0.00031925561591543026,0.0005554521134366201,0.00021543036998972296,0.000429728564087503,0.67
main,combined-rhythm,0.10099983115548376,0.019626626443573984,0.09709406731757451,0.10486165449273234,1.0
lenadj,rhythm-lexical,-0.1636571355160769,0.03329163623888703,-0.1702314069152841,-0.15706569703420933,0.0
lenadj,combined-lexical,0.005657157539274702,0.004997307119407097,0.0046813814050800226,0.006624788026721502,0.89
lenadj,combined-rhythm,0.16931429305535164,0.030474613973690404,0.16328298047276465,0.1751202459257084,1.0
lenadj,lexical-length_only,0.16328525179856115,0.024960918704329475,0.15854648014241665,0.1683165998017912,1.0
lenadj,rhythm-length_only,-0.000371883717515783,0.042132248642352745,-0.008396520885332548,0.007759491814711495,0.46
sens_degen,rhythm-lexical,-0.08447296441254011,0.02022247120542106,-0.08843187050195432,-0.08055946668861477,0.0
sens_degen,combined-lexical,0.00029791563168902747,0.0005626152533395747,0.00018904380605855176,0.0004095296826112384,0.58
sens_degen,combined-rhythm,0.08477088004422914,0.020189695860801004,0.0808238973819118,0.08886608099526956,1.0
sens_nollama,rhythm-lexical,-0.07762087187392946,0.018053217650673095,-0.08117887547105175,-0.07413532716683797,0.0
sens_nollama,combined-lexical,0.00018666495375128212,0.00033453661667269785,0.00012548796676944304,0.00025477046933881865,0.43
sens_nollama,combined-rhythm,0.07780753682768074,0.017966499532336908,0.07434443045563552,0.08128884271154503,1.0
