condition,repeat,fold,features,auc,n_words
main,0,0,lexical,0.9985714285714287,1510
main,0,0,rhythm,0.8942857142857142,0
main,0,0,combined,0.998265306122449,1510
main,0,1,lexical,0.999486125385406,1588
main,0,1,rhythm,0.8973278520041111,0
main,0,1,combined,0.9998972250770812,1588
main,0,2,lexical,0.9996916752312436,1517
main,0,2,rhythm,0.8832476875642343,0
main,0,2,combined,0.9996916752312436,1517
main,0,3,lexical,0.9993833504624872,1535
main,0,3,rhythm,0.8987667009249742,0
main,0,3,combined,0.9997944501541624,1535
main,0,4,lexical,0.9928057553956835,1515
main,0,4,rhythm,0.9204522096608428,0
main,0,4,combined,0.9930113052415211,1515
main,1,0,lexical,0.9995918367346939,1539
main,1,0,rhythm,0.8811224489795918,0
main,1,0,combined,0.9997959183673469,1539
main,1,1,lexical,0.9979445015416238,1528
main,1,1,rhythm,0.9152106885919835,0
main,1,1,combined,0.9997944501541624,1528
main,1,2,lexical,0.9984583761562179,1540
main,1,2,rhythm,0.902672147995889,0
main,1,2,combined,0.9990750256937307,1540
main,1,3,lexical,0.9929085303186023,1542
main,1,3,rhythm,0.87327852004111,0
main,1,3,combined,0.9932168550873587,1542
main,1,4,lexical,0.9998972250770812,1538
main,1,4,rhythm,0.8913669064748201,0
main,1,4,combined,1.0,1538
main,2,0,lexical,0.9927551020408163,1538
main,2,0,rhythm,0.8945918367346939,0
main,2,0,combined,0.9934693877551021,1538
main,2,1,lexical,0.9992805755395683,1611
main,2,1,rhythm,0.8994861253854058,0
main,2,1,combined,0.9984583761562178,1611
main,2,2,lexical,1.0,1509
main,2,2,rhythm,0.8967112024665982,0
main,2,2,combined,1.0,1509
main,2,3,lexical,0.9979445015416238,1539
main,2,3,rhythm,0.894141829393628,0
main,2,3,combined,0.9997944501541624,1539
main,2,4,lexical,0.9998972250770812,1517
main,2,4,rhythm,0.900513874614594,0
main,2,4,combined,1.0,1517
main,3,0,lexical,0.9995918367346939,1565
main,3,0,rhythm,0.9271428571428572,0
main,3,0,combined,0.9997959183673469,1565
main,3,1,lexical,0.9981500513874615,1544
main,3,1,rhythm,0.8885919835560123,0
main,3,1,combined,0.9986639260020556,1544
main,3,2,lexical,0.9997944501541624,1548
main,3,2,rhythm,0.8939362795477904,0
main,3,2,combined,1.0,1548
main,3,3,lexical,0.9996916752312436,1538
main,3,3,rhythm,0.8515930113052416,0
