condition,features,auc_mean,auc_sd,ci_lo,ci_hi,repeat_mean,repeat_sd,n_folds
main,combined,0.9982447217736014,0.002951035181465813,0.997645401005726,0.9988075844222581,0.9982447217736015,0.0001670414894079954,100
main,lexical,0.9979254661576862,0.0030461458793112233,0.9973115588753487,0.9984845178754956,0.9979254661576862,0.00017066953830719656,100
main,rhythm,0.8972448906181179,0.01955291920650827,0.8933627758405521,0.900996038210248,0.8972448906181179,0.0021360123306235074,100
lenadj,combined,0.9796134561738364,0.008717055966993834,0.9778538971883717,0.9812225561591543,0.9796134561738364,0.001499684896727656,100
lenadj,length_only,0.8106710468360006,0.024140948242485905,0.8059397243429747,0.8152927633607401,0.8106710468360007,0.0009617974803477535,100
lenadj,lexical,0.9739562986345618,0.010541537373796036,0.9718448812582586,0.9759558159594772,0.9739562986345618,0.002022783284120701,100
lenadj,rhythm,0.8102991631184848,0.030692957924280416,0.8043460717956247,0.8163092491924828,0.8102991631184849,0.003000771963312548,100
sens_degen,combined,0.9982338094449541,0.002806313050925255,0.9976735169482244,0.9987553690752186,0.9982338094449542,0.00013583473433812244,100
sens_degen,lexical,0.9979358938132651,0.0027735352283937776,0.9973686243624758,0.9984611894198563,0.997935893813265,0.00018570043664216856,100
sens_degen,rhythm,0.9134629294007248,0.019855326800661564,0.9094942126952438,0.9172297432861164,0.9134629294007249,0.0017265486677728505,100
sens_nollama,combined,0.9987630952380953,0.002402068461544072,0.9982847362110312,0.9992103370161013,0.9987630952380953,0.00014570745083837075,100
sens_nollama,lexical,0.998576430284344,0.0025725828758506367,0.99805903370161,0.9990644822713258,0.9985764302843438,0.00010181797566291835,100
sens_nollama,rhythm,0.9209555584104145,0.017622375973988462,0.9175454988866051,0.9243157778776977,0.9209555584104147,0.001340921981513212,100
