dataset,feature,feature_type,ratio,perm_p,perm_z,ai_doc_count
ai7,sent_len_char_mean,rhythm_core,0.5345259323623699,0.000999000999000999,8.256119587390033,
ai7,sent_len_char_sd,rhythm_core,0.5653391475197318,0.000999000999000999,4.895025802088317,
ai7,sent_len_char_cv,rhythm_core,0.44471301705863553,0.001998001998001998,5.21665242946744,
ai7,sent_len_mora_mean,rhythm_core,0.6534123556856546,0.000999000999000999,10.395707855309873,
ai7,sent_len_mora_sd,rhythm_core,0.64338218508184,0.004995004995004995,5.5624748132677,
ai7,sent_len_mora_cv,rhythm_core,0.47200296680624326,0.000999000999000999,6.04152160264383,
ai7,burstiness_char,rhythm_core,0.5249841352261212,0.000999000999000999,9.393924748401703,
ai7,burstiness_mora,rhythm_core,0.5832355184421625,0.000999000999000999,10.614265278791336,
ai7,para_sent_cv,rhythm_core,0.5808610100693478,0.000999000999000999,10.614765009487419,
ai7,taigendome_rate,rhythm_ending,0.8469681650101556,0.000999000999000999,16.90795363149981,
ai7,dewanaku_per_sentence,rhythm_core,0.31901333049122915,0.000999000999000999,4.2607061742681145,
ai7,comma_per_sentence,rhythm_core,0.6153433557227136,0.000999000999000999,7.7130189505098095,
ai7,ending_mattr20,rhythm_ending,1.233412077577217,0.000999000999000999,26.749283272415997,
ai7,レート-rate,lexical,0.1941202759693792,0.1998001998001998,0.9282798298544155,16.0
ai7,NF,lexical,0.26028698226345004,0.01998001998001998,2.4639572989706093,21.0
ai7,Travis,lexical,0.2188553439678392,0.21178821178821178,0.7663557323831085,8.0
ai7,バージョニング,lexical,0.1993184892400529,0.1068931068931069,1.2715538677941944,23.0
ai7,エスケープ-escape,lexical,0.1786799303501374,0.1978021978021978,0.801330240296138,26.0
ai7,XSS,lexical,0.18193775755505073,0.16383616383616384,0.9934480586584491,36.0
ai7,スクリプティング,lexical,0.21308571842438115,0.060939060939060936,1.5675130855510369,26.0
ai7,立案,lexical,0.23065639438241825,0.08091908091908091,1.2953685204446588,11.0
ai7,クロスサイトリクエストフォージェリ,lexical,0.17612162584720778,0.22377622377622378,0.6332133522854627,19.0
ai7,Found,lexical,0.17005468158925977,0.2897102897102897,0.48733056390613305,16.0
ai7,こつ,lexical,0.11246380601163403,0.7402597402597403,-0.6127775422698777,42.0
ai7,CSRF,lexical,0.145654358665619,0.3916083916083916,0.0938480653972907,29.0
ai7,Deployment,lexical,0.12327106957807392,0.6303696303696303,-0.4153045904138941,22.0
ai7,チェックリスト,lexical,0.6073158763380279,0.000999000999000999,9.863235160213513,30.0
ai7,Continuous,lexical,0.14152416637074397,0.4515484515484515,-0.01708751769571792,21.0
