dataset,comparison,metric,n_lexical,n_rhythm,lexical_median,rhythm_median,U,p,rank_biserial
ai7,lex_all_vs_rhythm13,ratio,797,13,0.2715003393989344,0.5808610100693478,826.0,1.9590787899308003e-07,-0.8405559308947013
ai7,lex_all_vs_rhythm13,perm_z,797,13,2.114593203601755,8.256119587390033,974.0,5.000264880644946e-07,-0.8119872599169964
ai7,lex_all_vs_rhythm_core11,ratio,797,11,0.2715003393989344,0.5653391475197318,815.0,3.4663502218628874e-06,-0.8140755104368655
ai7,lex_all_vs_rhythm_core11,perm_z,797,11,2.114593203601755,7.7130189505098095,968.0,8.91137522387532e-06,-0.7791718946047679
ai7,lex_min10_vs_rhythm13,ratio,573,13,0.26605467386259857,0.5808610100693478,538.0,1.306090319185302e-07,-0.8555510806819707
ai7,lex_min10_vs_rhythm13,perm_z,573,13,2.6549234260953276,8.256119587390033,869.0,2.2491076453952534e-06,-0.7666800912874211
ai7,lex_min10_vs_rhythm_core11,ratio,573,11,0.26605467386259857,0.5653391475197318,530.0,2.2639304077886414e-06,-0.8318261145486276
ai7,lex_min10_vs_rhythm_core11,perm_z,573,11,2.6549234260953276,7.7130189505098095,863.0,3.6660742106906116e-05,-0.7261621450103126
ai6_nollama,lex_all_vs_rhythm13,ratio,784,13,0.236441128846878,0.7881400909362144,1078.0,1.0610596499549925e-06,-0.7884615384615384
ai6_nollama,lex_all_vs_rhythm13,perm_z,784,13,1.5077963465962343,14.93504465792462,771.0,1.4975974148208697e-07,-0.8487048665620094
ai6_nollama,lex_all_vs_rhythm_core11,ratio,784,11,0.236441128846878,0.7647348563120747,1074.0,1.865057941308239e-05,-0.7509276437847866
ai6_nollama,lex_all_vs_rhythm_core11,perm_z,784,11,1.5077963465962343,14.402867863579244,767.0,2.7812069707100006e-06,-0.8221243042671614
ai6_nollama,lex_min10_vs_rhythm13,ratio,562,13,0.22928612215618466,0.7881400909362144,722.0,7.475317936866717e-07,-0.8023542294004927
ai6_nollama,lex_min10_vs_rhythm13,perm_z,562,13,1.7917607614052957,14.93504465792462,641.0,3.6691297704646896e-07,-0.8245277853818779
ai6_nollama,lex_min10_vs_rhythm_core11,ratio,562,11,0.22928612215618466,0.7647348563120747,718.0,1.2834192716056324e-05,-0.7677127143319314
ai6_nollama,lex_min10_vs_rhythm_core11,perm_z,562,11,1.7917607614052957,14.402867863579244,637.0,6.425959401306394e-06,-0.7939178259462957
