dataset,fold,features,accuracy,macro_f1,n_features
ai7,0,lexical,0.9,0.8999641962047977,1360
ai7,0,rhythm,0.5571428571428572,0.5365536721944045,13
ai7,1,lexical,0.8428571428571429,0.8414759843331271,1374
ai7,1,rhythm,0.5142857142857142,0.5184918464993652,13
ai7,2,lexical,0.8857142857142857,0.8854594469366693,1383
ai7,2,rhythm,0.4,0.3893439839010287,13
ai7,3,lexical,0.9285714285714286,0.9285356247762263,1375
ai7,3,rhythm,0.6285714285714286,0.6267484186657118,13
ai7,4,lexical,0.9571428571428572,0.9570354457572502,1359
ai7,4,rhythm,0.44285714285714284,0.4256013984541185,13
ai7,5,lexical,0.9428571428571428,0.9428213390619405,1355
ai7,5,rhythm,0.5142857142857142,0.518096042244649,13
ai7,6,lexical,0.9285714285714286,0.9261546723952739,1370
ai7,6,rhythm,0.5142857142857142,0.47830436522435055,13
ai7,7,lexical,0.9285714285714286,0.9285356247762263,1378
ai7,7,rhythm,0.5857142857142857,0.5500517598343685,13
ai7,8,lexical,0.9285714285714286,0.9279584241990256,1384
ai7,8,rhythm,0.4714285714285714,0.46964512731103125,13
ai7,9,lexical,0.9428571428571428,0.9428213390619407,1365
ai7,9,rhythm,0.5142857142857142,0.4936261968902394,13
ai7,10,lexical,0.9428571428571428,0.9422799422799423,1399
ai7,10,rhythm,0.6,0.5953942828084705,13
ai7,11,lexical,0.8714285714285714,0.8669501133786849,1384
ai7,11,rhythm,0.5285714285714286,0.5105667208608385,13
ai7,12,lexical,0.9714285714285714,0.9713569638381668,1344
ai7,12,rhythm,0.4714285714285714,0.4750165512429228,13
ai7,13,lexical,0.9285714285714286,0.9285356247762263,1351
ai7,13,rhythm,0.4857142857142857,0.4671851070363657,13
ai7,14,lexical,0.8857142857142857,0.8843434343434344,1380
ai7,14,rhythm,0.42857142857142855,0.41641232689826035,13
ai7,15,lexical,1.0,1.0,1371
ai7,15,rhythm,0.5285714285714286,0.5174836677615363,13
ai7,16,lexical,0.9142857142857143,0.9094880057286072,1358
ai7,16,rhythm,0.5714285714285714,0.5492903921475351,13
ai7,17,lexical,0.8428571428571429,0.8375256558486373,1378
ai7,17,rhythm,0.34285714285714286,0.35340434419381783,13
ai7,18,lexical,0.9,0.898258006482532,1384
ai7,18,rhythm,0.5714285714285714,0.5469737594034269,13
ai7,19,lexical,0.9285714285714286,0.928392409595417,1356
ai7,19,rhythm,0.5428571428571428,0.5148513160204793,13
ai7,20,lexical,0.9571428571428572,0.9568184530590546,1364
ai7,20,rhythm,0.5428571428571428,0.49675736961451245,13
ai7,21,lexical,0.8857142857142857,0.8875501382856728,1369
ai7,21,rhythm,0.44285714285714284,0.4489885427855352,13
ai7,22,lexical,0.9571428571428572,0.9571070533476549,1368
ai7,22,rhythm,0.5142857142857142,0.49458849693403467,13
ai7,23,lexical,0.9285714285714286,0.9284282133906194,1375
ai7,23,rhythm,0.4857142857142857,0.4675890191679665,13
ai7,24,lexical,0.9142857142857143,0.9134199134199134,1351
ai7,24,rhythm,0.5142857142857142,0.5155502392344496,13
ai6_nollama,0,lexical,0.9,0.9,1325
ai6_nollama,0,rhythm,0.55,0.5099072169660405,13
ai6_nollama,1,lexical,0.8166666666666667,0.8151945520366572,1329
ai6_nollama,1,rhythm,0.5,0.4991259569264685,13
ai6_nollama,2,lexical,0.85,0.8454446117489596,1338
ai6_nollama,2,rhythm,0.4666666666666667,0.46270265682030387,13
ai6_nollama,3,lexical,0.9333333333333333,0.9331662489557226,1335
ai6_nollama,3,rhythm,0.5833333333333334,0.5741943241943243,13
ai6_nollama,4,lexical,0.95,0.9498746867167919,1320
ai6_nollama,4,rhythm,0.45,0.4422612085769981,13
ai6_nollama,5,lexical,0.8833333333333333,0.882326589420411,1325
ai6_nollama,5,rhythm,0.5166666666666667,0.48508703771861666,13
ai6_nollama,6,lexical,0.9666666666666667,0.9665831244778613,1349
ai6_nollama,6,rhythm,0.48333333333333334,0.4810256673226117,13
ai6_nollama,7,lexical,0.9166666666666666,0.9147688060731539,1312
ai6_nollama,7,rhythm,0.6333333333333333,0.6265734928139021,13
ai6_nollama,8,lexical,0.9333333333333333,0.9332915622389307,1333
ai6_nollama,8,rhythm,0.48333333333333334,0.49722791828054985,13
ai6_nollama,9,lexical,0.9166666666666666,0.9171793119161541,1337
ai6_nollama,9,rhythm,0.5,0.48636991028295373,13
ai6_nollama,10,lexical,0.95,0.9499582289055973,1313
ai6_nollama,10,rhythm,0.5,0.4823643080420574,13
ai6_nollama,11,lexical,0.85,0.846256376946914,1336
