word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
Hash,189.0796,True,excess,2,2,0.008547,0.00428,1.9972,0.004267,0.4993,7.9886,-0.002861,0.014241,0.0314,0.8594185485165475,0.9552876803312647,1.0,False,False,excess,False,False,False
Parent,176.9578,True,excess,1,2,0.005698,0.00428,1.3314,0.001418,0.3978,5.9915,-0.00571,0.009965,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
レート-rate,172.0575,True,excess,16,11,0.048433,0.017118,2.8293,0.031315,1.398,6.2432,0.008523,0.056956,7.2275,0.007179443461208195,0.01785846793009542,1.0,True,False,excess,True,False,True
Review,169.6503,True,excess,8,6,0.025641,0.009986,2.5678,0.015655,1.109,7.3229,0.001406,0.034168,2.6152,0.10584238912480917,0.17770546688552208,1.0,False,False,excess,False,False,True
カスケード-cascade,161.3399,True,excess,1,3,0.005698,0.005706,0.9986,-8e-06,0.2853,3.9943,-0.007137,0.00712,0.0,1.0,1.0,1.0,False,False,deficit,False,False,False
Image,107.3787,True,excess,12,13,0.037037,0.019971,1.8545,0.017066,0.8873,3.9943,-0.002886,0.039862,1.849,0.17389690619460824,0.269156608485037,1.0,False,False,excess,False,False,False
Tool,67.561,True,excess,3,2,0.011396,0.00428,2.6629,0.007116,0.6657,11.9829,-0.001474,0.018516,0.628,0.42809339661910784,0.5676451022886437,1.0,False,False,excess,False,False,False
NF,62.8327,True,excess,21,1,0.062678,0.002853,21.9687,0.059825,8.9872,59.9145,0.036997,0.086893,36.2191,1.7633349834081754e-09,1.6226536131471952e-08,2.9694561120593674e-06,True,True,excess,True,True,True
Travis,62.8327,True,excess,8,2,0.025641,0.00428,5.9915,0.021361,1.9972,21.9687,0.007077,0.03846,7.8876,0.004977431508287282,0.012816505596262665,1.0,True,False,excess,True,False,True
deployment,60.4685,True,excess,2,3,0.008547,0.005706,1.4979,0.002841,0.3994,5.9915,-0.00571,0.012818,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
バージョニング,56.6858,True,excess,23,5,0.068376,0.008559,7.9886,0.059817,3.8123,22.9672,0.035547,0.086888,28.6249,8.78435262688152e-08,6.087592520028181e-07,0.0001479284982366848,True,True,excess,True,True,True
エスケープ-escape,53.8488,True,excess,26,4,0.076923,0.007133,10.7846,0.06979,4.9929,30.9808,0.044145,0.09828,37.0974,1.1237193184690256e-09,1.0691205267242029e-08,1.892343332301839e-06,True,True,excess,True,True,True
XSS,50.4208,True,excess,36,7,0.105413,0.011412,9.2368,0.094001,5.1347,22.4679,0.065511,0.126767,48.8887,2.7090175511802844e-12,3.6495884449500794e-11,4.561985556187599e-09,True,True,excess,True,True,True
スクリプティング,49.4357,True,excess,26,2,0.076923,0.00428,17.9744,0.072643,7.9886,63.9088,0.048425,0.103983,43.1553,5.05634799692289e-11,5.639000017760362e-10,8.514890026818147e-08,True,True,excess,True,True,True
development,47.2291,True,excess,4,4,0.014245,0.007133,1.9972,0.007112,0.5706,7.9886,-0.004288,0.019939,0.3936,0.5304005772193956,0.6689037894455967,1.0,False,False,excess,False,False,False
立案,46.2835,True,excess,11,3,0.034188,0.005706,5.9915,0.028482,2.33,24.0157,0.009961,0.049851,11.0853,0.0008701455421876382,0.002718599430508317,1.0,True,False,excess,True,False,True
クロスサイトリクエストフォージェリ,46.2835,True,excess,19,2,0.05698,0.00428,13.3143,0.0527,5.9915,49.9288,0.031335,0.078342,28.9176,7.552205731029453e-08,5.299131021272333e-07,0.000127179144510536,True,True,excess,True,True,True
Found,43.9193,True,excess,16,1,0.048433,0.002853,16.9758,0.04558,6.4907,45.9345,0.025597,0.068372,26.0168,3.3845701804830233e-07,2.167154442560232e-06,0.0005699616183933411,True,True,excess,True,True,True
こつ,41.5551,True,excess,42,9,0.122507,0.014265,8.5877,0.108242,4.6982,18.3738,0.072588,0.145287,55.6671,8.584453100158848e-14,1.4313088139274752e-12,1.44562190206675e-10,True,True,excess,True,True,True
CSRF,41.5551,True,excess,29,6,0.08547,0.009986,8.5592,0.075484,4.4936,22.6344,0.0498,0.106819,37.6884,8.299563983751775e-10,7.986551856364565e-09,1.3976465748637988e-06,True,True,excess,True,True,True
Many,36.8268,True,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,17.9744,0.004224,0.029912,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
Deployment,32.8865,True,excess,22,8,0.065527,0.012839,5.1038,0.052688,2.5841,11.9829,0.027047,0.079748,20.421,6.2145548688429875e-06,3.1239732534721165e-05,0.01046531039913159,True,True,excess,True,True,True
チェックリスト,32.0984,True,excess,30,4,0.088319,0.007133,12.3823,0.081186,6.2404,37.9459,0.0527,0.111103,45.1419,1.8326360529525177e-11,2.2202583548000287e-10,3.08615911317204e-08,True,True,excess,True,True,True
Continuous,29.4716,True,excess,21,6,0.062678,0.009986,6.2768,0.052692,3.0706,17.3086,0.02843,0.07976,22.6234,1.970685531704635e-06,1.1404242046015827e-05,0.0033186344353906055,True,True,excess,True,True,True
ネーション-nation,28.0456,True,excess,18,6,0.054131,0.009986,5.4208,0.044145,2.5956,14.4835,0.021349,0.072631,17.3177,3.162262144105467e-05,0.00013940443588150803,0.05325249450673607,True,False,excess,True,False,True
合併,27.3701,True,excess,1,2,0.005698,0.00428,1.3314,0.001418,0.3329,5.9915,-0.00571,0.008543,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
Internal,27.3701,True,excess,12,1,0.037037,0.002853,12.9815,0.034184,4.66,35.9487,0.01709,0.054127,18.0017,2.2070492545349203e-05,9.911122519031482e-05,0.03716670944636806,True,True,excess,True,True,True
スケジュール-schedule,26.6112,True,excess,25,44,0.074074,0.064194,1.1539,0.00988,0.6946,1.7475,-0.02289,0.041215,0.1571,0.6918776396575111,0.8205084121008794,1.0,False,False,excess,False,False,False
except,25.284,True,excess,9,13,0.02849,0.019971,1.4265,0.008519,0.6239,3.1384,-0.010006,0.028509,0.2844,0.5938529414070735,0.7306787926502267,1.0,False,False,excess,False,False,False
クリックジャッキング,25.0059,True,excess,7,1,0.022792,0.002853,7.9886,0.019939,2.3966,25.963,0.007077,0.037033,8.3291,0.0039015310820315007,0.010412327008147461,1.0,True,False,excess,True,False,True
欠かす,24.6682,True,excess,69,14,0.19943,0.021398,9.32,0.178032,5.8007,16.982,0.13672,0.219341,98.1583,3.862434637136453e-23,1.8067610913716078e-21,6.504339928937788e-20,True,True,excess,True,True,True
images,24.5331,True,excess,2,5,0.008547,0.008559,0.9986,-1.2e-05,0.2496,3.3286,-0.00999,0.011384,0.0,1.0,1.0,1.0,False,False,deficit,False,False,False
Ansible,24.4149,True,excess,7,4,0.022792,0.007133,3.1954,0.015659,0.9986,10.9843,-8e-06,0.032757,3.3189,0.06848930890529108,0.12605026906722425,1.0,False,False,excess,False,False,False
建設,24.1193,True,excess,41,7,0.119658,0.011412,10.485,0.108246,5.5905,27.9601,0.075437,0.145279,58.9692,1.6016176517166467e-14,2.9968045838787036e-13,2.697124125490833e-11,True,True,excess,True,True,True
デプロイメント,23.5014,True,excess,22,3,0.065527,0.005706,11.4836,0.059821,5.1912,47.9316,0.035602,0.085498,31.9661,1.568868663316261e-08,1.2231364949187885e-07,2.6419748290245833e-05,True,True,excess,True,True,True
尊重,22.6417,True,excess,13,7,0.039886,0.011412,3.495,0.028474,1.5533,9.4865,0.008531,0.051266,7.8049,0.0052104315515934365,0.013375559044029492,1.0,True,False,excess,True,False,True
スロー-throw,22.6417,True,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,18.0243,0.002841,0.029912,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
ガイダンス-guidance,22.6417,True,excess,2,2,0.008547,0.00428,1.9972,0.004267,0.4993,9.9858,-0.002865,0.014241,0.0314,0.8594185485165475,0.9552876803312647,1.0,False,False,excess,False,False,False
relationships,21.4596,True,excess,1,2,0.005698,0.00428,1.3314,0.001418,0.3994,5.9915,-0.004327,0.009965,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
Swarm,21.2908,True,excess,6,4,0.019943,0.007133,2.796,0.01281,0.8559,11.9829,-0.001439,0.029904,2.1328,0.14417600312319945,0.23101083659321398,1.0,False,False,excess,False,False,False
Confluence,20.2776,True,excess,9,2,0.02849,0.00428,6.6572,0.02421,2.2825,23.9658,0.008539,0.041344,9.658,0.0018852904711516036,0.005381066361727627,1.0,True,False,excess,True,False,True
タイズ,20.2776,True,excess,7,2,0.022792,0.00428,5.3257,0.018512,1.7107,19.9715,0.004267,0.034184,6.178,0.012935177397988513,0.02943626856515224,1.0,True,False,excess,True,False,True
両面,20.2776,True,excess,7,2,0.022792,0.00428,5.3257,0.018512,1.5977,19.9715,0.004263,0.03418,6.178,0.012935177397988513,0.02943626856515224,1.0,True,False,excess,True,False,True
ベスト-best,20.1921,True,excess,160,50,0.458689,0.072753,6.3047,0.385936,4.7868,8.4882,0.330366,0.444335,214.5603,1.3899339803811524e-48,3.901081371603101e-46,2.3406488229618607e-45,True,True,excess,True,True,True
早期,19.8398,True,excess,84,20,0.242165,0.029957,8.0837,0.212208,5.259,13.9801,0.166581,0.259223,114.5276,9.98676377062263e-27,5.605903396576169e-25,1.681771018972851e-23,True,True,excess,True,True,True
エクスプローラー-explorer,19.2643,True,excess,1,6,0.005698,0.009986,0.5706,-0.004288,0.1816,1.9972,-0.012886,0.004267,0.4494,0.5026082645493437,0.641206301137193,1.0,False,False,deficit,False,False,False
ピラミッド-pyramid,19.0955,True,excess,9,2,0.02849,0.00428,6.6572,0.02421,2.4939,23.9658,0.008539,0.042731,9.658,0.0018852904711516036,0.005381066361727627,1.0,True,False,excess,True,False,True
Jira,19.0955,True,excess,17,4,0.051282,0.007133,7.1897,0.044149,2.9957,23.9908,0.021349,0.069782,19.734,8.900534237989016e-06,4.3319363169865616e-05,0.014988499656773503,True,True,excess,True,True,True
例外,19.0898,True,excess,39,80,0.11396,0.115549,0.9862,-0.001589,0.6878,1.3953,-0.038639,0.039744,0.0012,0.9725428375771183,1.0,1.0,False,False,deficit,False,False,False
Code,18.5732,True,excess,14,51,0.042735,0.07418,0.5761,-0.031445,0.3106,0.9643,-0.05711,-0.002903,3.7904,0.05154690047249113,0.09864202317690347,1.0,False,False,deficit,False,False,False
UUID,18.4218,True,excess,3,5,0.011396,0.008559,1.3314,0.002837,0.3329,4.66,-0.008567,0.015663,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
Status,17.9134,True,excess,3,3,0.011396,0.005706,1.9972,0.00569,0.4993,7.015,-0.004284,0.01709,0.1886,0.6641031261499244,0.7954122791155567,1.0,False,False,excess,False,False,False
Trello,17.9134,True,excess,12,2,0.037037,0.00428,8.6543,0.032757,3.4237,33.9516,0.015667,0.054127,15.2118,9.610349106661521e-05,0.0003835030307018484,0.16183827895618003,True,False,excess,True,False,True
ハイジャック-hijack,17.9134,True,excess,11,2,0.034188,0.00428,7.9886,0.029908,2.9957,27.9601,0.011392,0.048429,13.3285,0.0002614052131131346,0.0009446488817221431,0.4402063788825187,True,False,excess,True,False,True
Cross,17.9134,True,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,15.9772,0.002841,0.029912,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
