metric,label,n_human,n_ai,human_mean,human_sd,ai_mean,ai_sd,cohens_d,d_ci_lo,d_ci_hi,mw_p,mw_p_holm
sent_len_char_mean,文長平均 (文字),696,350,51.397395422413794,46.79603585085955,40.06397350285714,75.92794274772965,-0.19479614277212284,-0.47930799471049224,-0.01871860074599028,4.682390757284728e-19,2.809434454370837e-18
sent_len_char_sd,文長SD (文字),696,350,44.05823436925287,84.77495454364393,30.504845200000002,192.53512176907435,-0.10341456546376537,-0.4015143295497053,0.05190270998790196,7.703437495135027e-80,1.0014468743675535e-78
sent_len_char_cv,文長CV (文字),696,350,0.6793160143678161,0.344057773474901,0.4836437114285715,0.3688433896763223,-0.5550399400098711,-0.7792308392282072,-0.36212284298603614,1.6154883177732105e-52,1.7740877167212298e-51
sent_len_mora_mean,文長平均 (モーラ近似),696,350,40.813260860632184,23.06734574112624,36.572200988571424,19.94212105135567,-0.1921474420257636,-0.32996835587810697,-0.0655811378822983,8.438996194928509e-07,3.3755984779714034e-06
sent_len_mora_sd,文長SD (モーラ近似),696,350,26.07073823563218,23.984132536055803,23.295724037142854,75.40827859716755,-0.058067174344783444,-0.3953246549520652,0.090964979931164,2.8795230334807725e-54,3.4554276401769272e-53
sent_len_mora_cv,文長CV (モーラ近似),696,350,0.6210594454022988,0.15722678135772303,0.5208288885714285,0.38044836394781506,-0.3936149030485278,-0.8270097573463507,-0.17403900443188203,2.377974305462805e-31,2.140176108357188e-30
burstiness_char,burstiness (文字長),696,350,-0.22328080316091953,0.1665504996986084,-0.38244456285714284,0.16205245086268227,-0.964275388665388,-1.1176531233297597,-0.81380421610084,1.612807015201118e-52,1.7740877167212298e-51
burstiness_mora,burstiness (モーラ長),696,350,-0.244245375,0.11022789504640525,-0.3514203857142857,0.17208959905677415,-0.7990914588305297,-1.0016377486322239,-0.6244389225786074,2.3779734537302088e-31,2.140176108357188e-30
para_sent_cv,段落あたり文数CV,564,350,0.6616634113475176,0.2728929674403351,0.4871790571428572,0.2427899649379003,-0.6665241724347085,-0.8319411272398558,-0.4977699472533186,1.1705888302077932e-26,8.194121811454552e-26
taigendome_rate,体言止め率 (地の文),685,346,0.13740787591240877,0.1834416660831855,0.09069820809248555,0.14432502306788306,-0.2726379723952944,-0.3817604047132905,-0.15166108664833033,2.3050856083488725e-17,1.1525428041744361e-16
dewanaku_per_sentence,「ではなく」/文,696,350,0.008268130747126437,0.015587190234850314,0.0112858,0.02111512768318875,0.17117572092521105,0.03586647267818392,0.3100903527135138,0.4013979618067579,0.4013979618067579
comma_per_sentence,読点/文,696,350,0.8220805689655173,0.502773192043697,1.1035366142857141,2.8942214452911545,0.16335932009231807,0.08126546847944369,0.25152799535409953,0.03758940978855104,0.07517881957710208
ending_bigram_ttr,文末bigram TTR (地の文),685,346,0.6080601620437956,0.17975284754860463,0.6541941965317919,0.21664131269135561,0.23915001563654417,0.10041596095210246,0.386632864844989,3.4896449933683585e-05,0.00010468934980105076
