metric,label,model,n,mean,sd,cohens_d_vs_human
sent_len_char_mean,文長平均 (文字),claude-3-haiku,50,35.584563620000004,7.181601039014305,-0.34932879082749274
sent_len_char_mean,文長平均 (文字),claude-sonnet-4,50,28.07010468,5.45740111687889,-0.5155148546249875
sent_len_char_mean,文長平均 (文字),claude-opus-4,50,28.272017679999994,5.843864446265961,-0.5110168430914355
sent_len_char_mean,文長平均 (文字),gpt-3.5-turbo,50,42.529873200000004,5.6532035146523345,-0.1959584399360998
sent_len_char_mean,文長平均 (文字),gpt-4o,50,38.53659118,6.420087095645802,-0.2841614512962615
sent_len_char_mean,文長平均 (文字),gpt-oss-20b,50,29.05538642,5.378997347959175,-0.4937476463530534
sent_len_char_mean,文長平均 (文字),llama3.2-1b,50,78.39927773999999,197.23764084804105,0.39778465734380525
sent_len_char_sd,文長SD (文字),claude-3-haiku,50,16.035314619999998,2.839162213075712,-0.3419973272921562
sent_len_char_sd,文長SD (文字),claude-sonnet-4,50,14.357169940000004,3.164557616186273,-0.362474268088351
sent_len_char_sd,文長SD (文字),claude-opus-4,50,14.3560663,2.937412532888331,-0.3624902011955931
sent_len_char_sd,文長SD (文字),gpt-3.5-turbo,50,14.07800696,3.575436152816581,-0.3658762269426954
sent_len_char_sd,文長SD (文字),gpt-4o,50,14.38790602,2.593573624961469,-0.36210500151851466
sent_len_char_sd,文長SD (文字),gpt-oss-20b,50,14.3695018,2.9602331585665924,-0.3623259929435416
sent_len_char_sd,文長SD (文字),llama3.2-1b,50,125.94995076000004,503.11532217202387,0.5355221449005447
sent_len_char_cv,文長CV (文字),claude-3-haiku,50,0.46960054,0.125161234125119,-0.6277352934081285
sent_len_char_cv,文長CV (文字),claude-sonnet-4,50,0.5253063,0.12743574846432715,-0.4609147210626009
sent_len_char_cv,文長CV (文字),claude-opus-4,50,0.5193432,0.10649998518175618,-0.4794539533539859
sent_len_char_cv,文長CV (文字),gpt-3.5-turbo,50,0.3370478,0.10350538894814183,-1.0260017249563103
sent_len_char_cv,文長CV (文字),gpt-4o,50,0.38375361999999996,0.09526348393194874,-0.8864236431994369
sent_len_char_cv,文長CV (文字),gpt-oss-20b,50,0.50605646,0.11869035741763918,-0.5188544505589437
sent_len_char_cv,文長CV (文字),llama3.2-1b,50,0.64439806,0.9108172001641345,-0.08590576168001425
sent_len_mora_mean,文長平均 (モーラ近似),claude-3-haiku,50,37.258467579999994,7.300996399293271,-0.15888485510531258
sent_len_mora_mean,文長平均 (モーラ近似),claude-sonnet-4,50,30.354989059999998,6.413064925597048,-0.4678172795670046
sent_len_mora_mean,文長平均 (モーラ近似),claude-opus-4,50,29.080973359999998,6.11207038886514,-0.5249367048835439
sent_len_mora_mean,文長平均 (モーラ近似),gpt-3.5-turbo,50,45.3376647,8.505505944631825,0.20196971055056517
sent_len_mora_mean,文長平均 (モーラ近似),gpt-4o,50,39.86826088,8.133569643538234,-0.042202008653597085
sent_len_mora_mean,文長平均 (モーラ近似),gpt-oss-20b,50,26.58963384,5.164452954478391,-0.6368552798498471
sent_len_mora_mean,文長平均 (モーラ近似),llama3.2-1b,50,47.51541749999999,46.09768995117588,0.26554685942592404
sent_len_mora_sd,文長SD (モーラ近似),claude-3-haiku,50,17.1260519,2.9420272836181383,-0.3856602920718951
sent_len_mora_sd,文長SD (モーラ近似),claude-sonnet-4,50,16.658790139999997,3.0050697122307928,-0.40579749904827556
sent_len_mora_sd,文長SD (モーラ近似),claude-opus-4,50,16.0823472,2.7064534242034712,-0.43069588834923417
sent_len_mora_sd,文長SD (モーラ近似),gpt-3.5-turbo,50,15.2563784,2.579264675645549,-0.466330566325278
sent_len_mora_sd,文長SD (モーラ近似),gpt-4o,50,15.512278779999999,2.4363422671556796,-0.45531576420825304
sent_len_mora_sd,文長SD (モーラ近似),gpt-oss-20b,50,15.008785839999998,2.9332344918572595,-0.47695012696590094
sent_len_mora_sd,文長SD (モーラ近似),llama3.2-1b,50,67.425436,195.27685133465445,0.7489625356190195
sent_len_mora_cv,文長CV (モーラ近似),claude-3-haiku,50,0.47799806000000006,0.12642037256311314,-0.920684731827114
sent_len_mora_cv,文長CV (モーラ近似),claude-sonnet-4,50,0.57251586,0.14824495913638125,-0.3098835047318143
sent_len_mora_cv,文長CV (モーラ近似),claude-opus-4,50,0.56990846,0.11900800737700512,-0.330006693221897
sent_len_mora_cv,文長CV (モーラ近似),gpt-3.5-turbo,50,0.3501544,0.09877694692361684,-1.758427969342462
sent_len_mora_cv,文長CV (モーラ近似),gpt-4o,50,0.41101509999999997,0.12741252223584618,-1.3512956880186704
sent_len_mora_cv,文長CV (モーラ近似),gpt-oss-20b,50,0.58250624,0.145615403693983,-0.24636437182074603
sent_len_mora_cv,文長CV (モーラ近似),llama3.2-1b,50,0.6817040999999999,0.9231563743283314,0.21546498277353382
burstiness_char,burstiness (文字長),claude-3-haiku,50,-0.37053024,0.1157139906242375,-0.899569491504371
burstiness_char,burstiness (文字長),claude-sonnet-4,50,-0.32033538,0.11205020203332879,-0.5935303875195977
burstiness_char,burstiness (文字長),claude-opus-4,50,-0.32272915999999996,0.0931905882602981,-0.6110894081383214
burstiness_char,burstiness (文字長),gpt-3.5-turbo,50,-0.50381262,0.10579213425891706,-1.718460027927226
burstiness_char,burstiness (文字長),gpt-4o,50,-0.4519271199999999,0.09786785745630353,-1.4034253951416902
burstiness_char,burstiness (文字長),gpt-oss-20b,50,-0.33631314,0.1084566910095228,-0.6919167913665643
burstiness_char,burstiness (文字長),llama3.2-1b,50,-0.3714642800000001,0.2998476841713132,-0.8305334120074391
burstiness_mora,burstiness (モーラ長),claude-3-haiku,50,-0.3628130599999999,0.11543098711075667,-1.0722528384647398
burstiness_mora,burstiness (モーラ長),claude-sonnet-4,50,-0.28322878,0.12385222462162769,-0.3506440768758567
burstiness_mora,burstiness (モーラ長),claude-opus-4,50,-0.28117942,0.09764992470337651,-0.33746985467813123
burstiness_mora,burstiness (モーラ長),gpt-3.5-turbo,50,-0.4886174200000001,0.10229458937396126,-2.2271714152157562
burstiness_mora,burstiness (モーラ長),gpt-4o,50,-0.42834118000000004,0.12407039545991293,-1.6556481744267062
burstiness_mora,burstiness (モーラ長),gpt-oss-20b,50,-0.27461852,0.12045742399198693,-0.2738030375915145
burstiness_mora,burstiness (モーラ長),llama3.2-1b,50,-0.34114432,0.30179459714192824,-0.7356780707111811
para_sent_cv,段落あたり文数CV,claude-3-haiku,50,0.5337419200000001,0.17626452600077866,-0.4800955979210811
para_sent_cv,段落あたり文数CV,claude-sonnet-4,50,0.59933362,0.1515267569515048,-0.23500373882863876
para_sent_cv,段落あたり文数CV,claude-opus-4,50,0.58923436,0.1441837106262333,-0.27341933399571955
para_sent_cv,段落あたり文数CV,gpt-3.5-turbo,50,0.26501463999999997,0.15508871107810443,-1.4945672344029277
para_sent_cv,段落あたり文数CV,gpt-4o,50,0.42181584,0.15525959224451502,-0.9037151825400148
para_sent_cv,段落あたり文数CV,gpt-oss-20b,50,0.49024774,0.17203936385331545,-0.6438658931656795
para_sent_cv,段落あたり文数CV,llama3.2-1b,50,0.51086528,0.4316146390453013,-0.5220975773411928
taigendome_rate,体言止め率 (地の文),claude-3-haiku,50,0.00309222,0.013352498260915639,-0.7578271929807342
taigendome_rate,体言止め率 (地の文),claude-sonnet-4,50,0.17424340000000002,0.15558136741504328,0.20271318325054397
taigendome_rate,体言止め率 (地の文),claude-opus-4,50,0.13136118,0.14634315054032757,-0.03337051810004994
taigendome_rate,体言止め率 (地の文),gpt-3.5-turbo,50,0.00885714,0.04661734721350946,-0.723766093243574
taigendome_rate,体言止め率 (地の文),gpt-4o,50,0.013144679999999999,0.03213940704813507,-0.700473149847578
taigendome_rate,体言止め率 (地の文),gpt-oss-20b,48,0.21977716666666666,0.17803299171499903,0.4498627368044318
taigendome_rate,体言止め率 (地の文),llama3.2-1b,48,0.08952802083333333,0.149068094889763,-0.26390611614067117
dewanaku_per_sentence,「ではなく」/文,claude-3-haiku,50,0.005369540000000001,0.014017754785737309,-0.18714205134479434
dewanaku_per_sentence,「ではなく」/文,claude-sonnet-4,50,0.01697476,0.02215877887536556,0.5406934967988526
dewanaku_per_sentence,「ではなく」/文,claude-opus-4,50,0.01522178,0.020867271961468214,0.43491115814232434
dewanaku_per_sentence,「ではなく」/文,gpt-3.5-turbo,50,0.007508120000000002,0.02107347527458562,-0.04748147700018232
dewanaku_per_sentence,「ではなく」/文,gpt-4o,50,0.014161860000000002,0.020303775812525758,0.3697257757580049
dewanaku_per_sentence,「ではなく」/文,gpt-oss-20b,50,0.01779254,0.02952740060171714,0.5647915436909393
dewanaku_per_sentence,「ではなく」/文,llama3.2-1b,50,0.001972,0.009225460526085803,-0.41285936940428797
comma_per_sentence,読点/文,claude-3-haiku,50,1.03946844,0.32532304091491737,0.4409000516821258
comma_per_sentence,読点/文,claude-sonnet-4,50,0.56513854,0.22434966754101437,-0.5250853469528145
comma_per_sentence,読点/文,claude-opus-4,50,0.58087184,0.2615218515210427,-0.4917130403755312
comma_per_sentence,読点/文,gpt-3.5-turbo,50,1.1863218000000002,0.3858544740702121,0.7344734792310332
comma_per_sentence,読点/文,gpt-4o,50,1.0426681199999999,0.3334911799616748,0.44706379208433605
comma_per_sentence,読点/文,gpt-oss-20b,50,0.49921558,0.1615174470989144,-0.6620161965614282
comma_per_sentence,読点/文,llama3.2-1b,50,2.81107198,7.430560489989327,1.0107363317581715
ending_bigram_ttr,文末bigram TTR (地の文),claude-3-haiku,50,0.5230685199999999,0.10901009051295413,-0.4831448880513035
ending_bigram_ttr,文末bigram TTR (地の文),claude-sonnet-4,50,0.7170632800000001,0.1271588075142678,0.6167920663941017
ending_bigram_ttr,文末bigram TTR (地の文),claude-opus-4,50,0.80391434,0.11815515145611187,1.110866063983533
ending_bigram_ttr,文末bigram TTR (地の文),gpt-3.5-turbo,50,0.59745914,0.14468121767682696,-0.05968221442217321
ending_bigram_ttr,文末bigram TTR (地の文),gpt-4o,50,0.65839348,0.11844117217528158,0.28546496814810396
ending_bigram_ttr,文末bigram TTR (地の文),gpt-oss-20b,48,0.9096594166666666,0.10150010355635286,1.7158487550287829
ending_bigram_ttr,文末bigram TTR (地の文),llama3.2-1b,48,0.368595875,0.23285287080898112,-1.3040628286827922
