metric,label,between_model_sd,within_model_sd_mean,between_within_ratio,model_means_min,model_means_max
sent_len_char_mean,文長平均 (文字),17.805272266749412,33.31039934406536,0.5345259323623699,28.07010468,78.39927773999999
sent_len_char_sd,文長SD (文字),42.09238255820854,74.45509963864554,0.5653391475197316,14.07800696,125.94995076000004
sent_len_char_cv,文長CV (文字),0.10084651616097792,0.2267676283190095,0.4447130170586352,0.3370478,0.64439806
sent_len_mora_mean,文長平均 (モーラ近似),8.188876365313591,12.532478601082827,0.6534123556856549,26.58963384,47.51541749999999
sent_len_mora_sd,文長SD (モーラ近似),19.474190065237202,30.268463312766478,0.6433821850818399,15.008785839999998,67.425436
sent_len_mora_cv,文長CV (モーラ近似),0.11386293350936282,0.241233512322611,0.47200296680624315,0.3501544,0.6817040999999999
burstiness_char,burstiness (文字長),0.06996682172156879,0.13327416397341726,0.5249841352261215,-0.50381262,-0.32033538
burstiness_mora,burstiness (モーラ長),0.08211540689364025,0.14079287748622146,0.5832355184421625,-0.4886174200000001,-0.27461852
para_sent_cv,段落あたり文数CV,0.11500859632783887,0.19799675711425044,0.580861010069348,0.26501463999999997,0.59933362
taigendome_rate,体言止め率 (地の文),0.08725403808974135,0.10301926529752758,0.8469681650101557,0.00309222,0.21977716666666666
dewanaku_per_sentence,「ではなく」/文,0.006251472626552349,0.019596273976783627,0.3190133304912292,0.001972,0.01779254
comma_per_sentence,読点/文,0.8019346380104324,1.3032311644424435,0.6153433557227134,0.49921558,2.81107198
ending_bigram_ttr,文末bigram TTR (地の文),0.17964212530292767,0.1359713448143966,1.321176351886072,0.368595875,0.9096594166666666
