doc_id,group,model,source,theme,n_paragraphs,n_sentences,n_sentences_prose,included,sent_len_char_mean,sent_len_char_sd,sent_len_char_cv,sent_len_mora_mean,sent_len_mora_sd,sent_len_mora_cv,burstiness_char,burstiness_mora,para_sent_cv,taigendome_rate,dewanaku_per_sentence,comma_per_sentence,ending_bigram_ttr
ai/claude-3-haiku/cicd-pipeline_1,ai,claude-3-haiku,ai,cicd-pipeline,10,26,26,1,51.269231,20.351824,0.396960,40.000000,17.877790,0.446945,-0.431680,-0.382223,0.461538,0.000000,0.000000,1.576923,0.500000
ai/claude-3-haiku/cicd-pipeline_2,ai,claude-3-haiku,ai,cicd-pipeline,18,39,15,1,44.564103,22.870645,0.513208,40.333333,24.208849,0.600219,-0.321696,-0.249829,0.580756,0.066667,0.000000,1.487179,0.666667
ai/claude-3-haiku/cicd-pipeline_3,ai,claude-3-haiku,ai,cicd-pipeline,20,45,28,1,38.555556,13.159797,0.341320,37.088889,14.357069,0.387099,-0.491068,-0.441858,0.484322,0.000000,0.000000,1.000000,0.535714
ai/claude-3-haiku/cicd-pipeline_4,ai,claude-3-haiku,ai,cicd-pipeline,30,58,33,1,32.844828,18.334819,0.558225,32.310345,16.676648,0.516140,-0.283511,-0.319140,0.549565,0.000000,0.000000,0.879310,0.545455
ai/claude-3-haiku/cicd-pipeline_5,ai,claude-3-haiku,ai,cicd-pipeline,18,38,33,1,43.578947,13.307362,0.305362,38.368421,17.120964,0.446225,-0.532142,-0.382910,0.443482,0.000000,0.000000,1.552632,0.545455
ai/claude-3-haiku/code-review_1,ai,claude-3-haiku,ai,code-review,28,75,22,1,23.293333,13.365401,0.573787,28.120000,14.362878,0.510771,-0.270820,-0.323827,0.920193,0.000000,0.066667,0.626667,0.681818
ai/claude-3-haiku/code-review_2,ai,claude-3-haiku,ai,code-review,12,33,14,1,48.272727,12.302433,0.254853,56.030303,14.880300,0.265576,-0.593813,-0.580308,0.516931,0.000000,0.030303,1.181818,0.928571
ai/claude-3-haiku/code-review_3,ai,claude-3-haiku,ai,code-review,26,56,41,1,36.803571,12.059998,0.327686,42.839286,13.657516,0.318808,-0.506381,-0.516521,0.476488,0.000000,0.053571,1.357143,0.536585
ai/claude-3-haiku/code-review_4,ai,claude-3-haiku,ai,code-review,29,66,36,1,29.772727,13.818954,0.464148,34.863636,16.303826,0.467646,-0.365982,-0.362727,0.430154,0.000000,0.000000,1.045455,0.500000
ai/claude-3-haiku/code-review_5,ai,claude-3-haiku,ai,code-review,34,77,56,1,33.025974,17.763215,0.537856,38.571429,20.898287,0.541807,-0.300512,-0.297179,0.559648,0.000000,0.000000,1.311688,0.446429
